SIREN;Dénomination;Code APE;Activité;Adresse;CP;Ville;Dirigeant;Fonction;Email;Téléphone;Site web;CA;Effectif;Date extraction
479766842;CAPGEMINI TECHNOLOGY SERVICES;62.02A;;145 QUAI DU PRESIDENT ROOSEVELT 145-151;92130;ISSY-LES-MOULINEAUX;;;;;;;53;2025-12-21 17:28:27
326820065;SOPRA STERIA GROUP;62.02A;;3 RUE DU PRE FAUCON PAE DES GLAISINS;74000;ANNECY;;;;;;;53;2025-12-21 17:28:27
345039416;ORANGE BUSINESS SERVICES;62.02A;;1 PLACE DES DROITS DE L’HOMME LA PLAINE SAINT-DENIS;93200;SAINT-DENIS;;;;;;;52;2025-12-21 17:28:27
385365713;INETUM;62.02A;;7 RUE TOUZET-GAILLARD;93400;SAINT-OUEN-SUR-SEINE;;;;;;;52;2025-12-21 17:28:27
317288389;FIDUCIAL INFORMATIQUE;62.02A;;41 RUE DU CAPITAINE GUYNEMER;92400;COURBEVOIE;;;;;;;41;2025-12-21 17:28:27
702012956;ALTRAN TECHNOLOGIES;62.02A;;76 AVENUE KLEBER;75016;PARIS;;;;;;;52;2025-12-21 17:28:27
309065084;APSIDE;62.02A;;4 PLACE DES AILES;92100;BOULOGNE-BILLANCOURT;;;;;;;42;2025-12-21 17:28:27
380474494;EURO INFORMATION DEVELOPPEMENTS (EID);62.01Z;;4 RUE FREDERIC-GUILLAUME RAIFFEISEN;67000;STRASBOURG;;;;;;;51;2025-12-21 17:28:27
811934363;NXO FRANCE;62.02A;;133 BOULEVARD NATIONAL;92500;RUEIL-MALMAISON;;;;;;;42;2025-12-21 17:28:27
702042755;CGI FRANCE;62.02A;;12 COURS MICHELET IMMEUBLE CARRE MICHELET;92800;PUTEAUX;;;;;;;53;2025-12-21 17:28:27
